IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.129.245,8880,8880,false,SIN,Asia Pacific,Singapore,272,0.00
8.222.221.86,2095,2095,false,SIN,Asia Pacific,Singapore,280,0.00
8.219.106.156,8880,8880,false,SIN,Asia Pacific,Singapore,281,0.00
47.236.150.109,8880,8880,false,SIN,Asia Pacific,Singapore,314,0.00
47.236.94.109,2052,2052,false,SIN,Asia Pacific,Singapore,318,0.00
47.236.119.253,8880,8880,false,SIN,Asia Pacific,Singapore,337,0.00
8.222.168.234,2086,2086,false,SIN,Asia Pacific,Singapore,284,0.00
47.236.87.246,2052,2052,false,SIN,Asia Pacific,Singapore,329,0.00
47.236.114.23,2052,2052,false,SIN,Asia Pacific,Singapore,324,0.00
8.222.145.164,2052,2052,false,SIN,Asia Pacific,Singapore,282,0.00
8.219.161.129,2095,2095,false,SIN,Asia Pacific,Singapore,321,0.00
8.219.126.240,2082,2082,false,SIN,Asia Pacific,Singapore,272,0.00
47.236.114.167,8080,8080,false,SIN,Asia Pacific,Singapore,317,0.00
